row_index,WROT.PtTurnOnTmp.Bl3
2028,4.3
2029,4.3
2030,4.3
2031,4.3
2032,4.3
2033,4.3
2034,4.3
2035,4.3
2036,4.3
2037,4.3
2038,4.3
2039,4.3
2040,4.3
2041,4.3
2042,4.3
2043,4.3
2044,4.3
2045,4.3
2046,4.3
2047,4.3
2048,4.3
2049,4.3
2050,4.3
2051,4.3
2052,4.3
2053,4.3
2054,4.3
2055,4.3
2056,4.3
2057,4.3
2058,4.3
2059,4.3
2060,4.3
2061,4.3
2062,4.3
2063,4.3
2064,4.3
2065,4.3
2066,4.3
2067,4.3
2068,4.3
2069,4.3
2070,4.3
2071,4.3
2072,4.3
2073,4.3
2074,4.3
2075,4.3
2076,4.3
2077,4.3
2078,4.3
2079,4.3
2080,4.3
2081,4.3
2082,4.3
2083,4.3
2084,4.3
2085,4.3
2086,4.3
2087,4.3
2088,4.3
2089,4.3
2090,4.3
2091,4.3
2092,4.3
2093,4.3
2094,4.3
2095,4.3
2096,4.3
2097,4.3
2098,4.3
2099,4.3
2100,4.3
2101,4.3
2102,4.3
2103,4.3
2104,4.3
2105,4.3
2106,4.3
2107,4.3
2108,4.3
2109,4.3
2110,4.3
2111,4.3
2112,4.3
2113,4.3
2114,4.3
2115,4.3
2116,4.3
2117,4.3
