row_index,WTUR.TmMtn.actTmVal
1,165.64
2,165.64
3,165.64
4,165.64
5,165.64
6,165.64
7,165.64
8,165.64
9,165.64
10,165.64
11,165.64
12,165.64
13,165.64
14,165.64
15,165.64
16,165.64
17,165.64
18,165.64
19,165.64
20,165.64
21,165.64
22,165.64
23,165.64
24,165.64
25,165.64
26,165.64
27,165.64
28,165.64
29,165.64
30,165.64
31,165.64
32,165.64
33,165.64
34,165.64
35,165.64
36,165.64
37,165.64
38,165.64
39,165.64
40,165.64
41,165.64
42,165.64
43,165.64
44,165.64
45,165.64
46,165.64
47,165.64
48,165.64
49,165.64
50,165.64
51,165.64
52,165.64
53,165.64
54,165.64
55,165.64
56,165.64
57,165.64
58,165.64
59,165.64
60,165.64
61,165.64
62,165.64
63,165.64
64,165.64
65,165.64
66,165.64
67,165.64
68,165.64
69,165.64
70,165.64
71,165.64
72,165.64
73,165.64
74,165.64
75,165.64
76,165.64
77,165.64
78,165.64
79,165.64
80,165.64
81,165.64
82,165.64
83,165.64
84,165.64
85,165.64
86,165.64
87,165.64
88,165.64
89,165.64
90,165.64
91,165.64
92,165.64
93,165.64
94,165.64
95,165.64
96,165.64
97,165.64
98,165.64
99,165.64
100,165.64
101,165.64
102,165.64
103,165.64
104,165.64
105,165.64
106,165.64
107,165.64
108,165.64
109,165.64
110,165.64
111,165.64
112,165.64
113,165.64
114,165.64
115,165.64
116,165.64
117,165.64
118,165.64
119,165.64
120,165.64
121,165.64
122,165.64
123,165.64
124,165.64
125,165.64
126,165.64
127,165.64
128,165.64
129,165.64
130,165.64
131,165.64
132,165.64
133,165.64
134,165.64
135,165.64
136,165.64
137,165.64
138,165.64
139,165.64
140,165.64
141,165.64
142,165.64
143,165.64
144,165.64
145,165.64
146,165.64
147,165.64
148,165.64
149,165.64
150,165.64
151,165.64
152,165.64
153,165.64
154,165.64
155,165.64
156,165.64
157,165.64
158,165.64
159,165.64
160,165.64
161,165.64
162,165.64
163,165.64
164,165.64
165,165.64
166,165.64
167,165.64
168,165.64
169,165.64
170,165.64
171,165.64
172,165.64
173,165.64
174,165.64
175,165.64
176,165.64
177,165.64
178,165.64
179,165.64
180,165.64
181,165.64
182,165.64
183,165.64
184,165.64
