row_index,WROT.PtAngVal.Bl3
1,0.3
2,0.3
3,0.3
4,0.3
5,0.3
6,0.3
7,0.3
8,0.3
9,0.3
10,0.3
11,0.3
12,0.3
13,0.3
14,0.3
15,0.3
16,0.3
17,0.3
18,0.3
19,0.3
20,0.3
21,0.3
22,0.3
23,0.3
24,0.3
25,0.3
26,0.3
27,0.3
28,0.3
29,0.3
30,0.3
31,0.3
32,0.3
33,0.3
34,0.3
35,0.3
36,0.3
37,0.3
38,0.3
39,0.3
40,0.3
41,0.3
42,0.3
43,0.3
44,0.3
45,0.3
46,0.3
47,0.3
48,0.3
49,0.3
50,0.3
51,0.3
52,0.3
53,0.3
54,0.3
55,0.3
56,0.3
57,0.3
58,0.3
59,0.3
60,0.3
61,0.3
62,0.3
63,0.3
64,0.3
65,0.3
66,0.3
67,0.3
68,0.3
69,0.3
70,0.3
71,0.3
72,0.3
73,0.3
74,0.3
75,0.3
76,0.3
77,0.3
78,0.3
79,0.3
80,0.3
81,0.3
82,0.3
83,0.3
84,0.3
85,0.3
86,0.3
87,0.3
88,0.3
89,0.3
90,0.3
91,0.3
92,0.3
93,0.3
94,0.3
95,0.3
96,0.3
97,0.3
98,0.3
99,0.3
100,0.3
101,0.3
102,0.3
103,0.3
104,0.3
105,0.3
106,0.3
107,0.3
108,0.3
109,0.3
110,0.3
111,0.3
112,0.3
113,0.3
114,0.3
115,0.3
116,0.3
117,0.3
118,0.3
119,0.31
120,0.31
121,0.31
122,0.31
123,0.31
124,0.31
125,0.31
126,0.31
127,0.3
128,0.21
129,0.21
130,0.21
131,0.21
132,0.21
133,0.21
134,0.21
135,0.21
136,0.25
137,0.25
138,0.25
139,0.25
140,0.25
141,0.25
142,0.25
143,0.25
144,0.27
145,0.27
146,0.27
147,0.27
148,0.27
149,0.27
150,0.27
151,0.27
152,0.27
153,0.27
154,0.27
155,0.27
156,0.27
157,0.27
158,0.27
159,0.27
160,0.27
161,0.27
162,0.27
163,0.27
164,0.27
165,0.27
166,0.27
167,0.27
168,0.27
169,0.27
170,0.27
171,0.27
172,0.27
173,0.27
174,0.27
175,0.27
176,0.27
177,0.27
178,0.27
179,0.27
180,0.27
181,0.27
182,0.27
183,0.27
184,0.27
185,0.27
186,0.31
187,0.23
188,0.23
189,0.23
190,0.23
191,0.23
192,0.23
193,0.23
194,0.23
195,0.18
196,0.18
197,0.18
198,0.18
199,0.18
200,0.18
201,0.18
202,0.18
203,0.18
204,0.18
205,0.18
206,0.18
207,0.18
208,0.18
209,0.18
210,0.18
211,0.18
212,0.18
213,0.18
214,0.18
215,0.18
216,0.18
217,0.18
218,0.18
219,0.18
220,0.23
221,0.23
222,0.23
223,0.23
224,0.23
225,0.23
226,0.23
227,0.23
228,0.23
229,0.23
230,0.23
231,0.23
232,0.23
233,0.23
234,0.23
235,0.23
236,0.28
237,0.2
238,0.2
239,0.2
240,0.2
241,0.2
242,0.2
243,0.2
244,0.2
245,0.2
246,0.2
247,0.2
248,0.2
249,0.2
250,0.2
251,0.2
252,0.2
253,0.2
254,0.2
255,0.2
256,0.2
257,0.2
258,0.2
259,0.2
260,0.2
261,0.2
262,0.2
263,0.2
264,0.2
265,0.2
266,0.2
267,0.2
268,0.2
269,0.2
270,0.2
271,0.2
272,0.2
273,0.2
274,0.2
275,0.2
276,0.2
277,0.2
278,0.2
279,0.15
280,0.15
281,0.15
282,0.15
283,0.15
284,0.15
285,0.15
286,0.15
287,0.15
288,0.15
289,0.15
290,0.15
291,0.15
292,0.15
293,0.15
294,0.15
295,0.15
296,0.15
297,0.15
298,0.15
299,0.15
300,0.15
301,0.15
302,0.15
303,0.15
304,0.15
305,0.15
306,0.15
307,0.15
308,0.15
309,0.15
310,0.15
311,0.15
312,0.15
313,0.15
314,0.15
315,0.15
316,0.15
317,0.15
318,0.15
319,0.15
320,0.15
321,0.15
322,0.15
323,0.15
324,0.15
325,0.15
326,0.15
327,0.15
328,0.15
329,0.15
330,0.15
331,0.15
332,0.15
333,0.15
334,0.15
335,0.15
336,0.15
337,0.15
338,0.31
339,0.31
340,0.31
341,0.31
342,0.31
343,0.31
344,0.31
345,0.31
346,0.31
347,0.31
348,0.31
349,0.31
350,0.31
351,0.31
352,0.31
353,0.31
354,0.23
355,0.25
356,0.25
357,0.25
358,0.25
359,0.25
360,0.25
361,0.25
362,0.25
363,0.27
364,0.27
365,0.27
366,0.27
367,0.27
368,0.27
369,0.27
370,0.27
371,0.31
372,0.31
373,0.31
374,0.31
375,0.31
376,0.31
377,0.31
378,0.31
379,0.28
380,0.3
381,0.3
382,0.3
383,0.3
384,0.3
385,0.3
386,0.3
387,0.3
388,0.3
389,0.3
390,0.3
391,0.3
392,0.3
393,0.3
394,0.3
395,0.3
396,0.3
397,0.3
398,0.3
399,0.3
400,0.3
401,0.3
402,0.3
403,0.3
404,0.3
405,0.3
406,0.3
407,0.3
408,0.3
409,0.3
410,0.3
411,0.3
412,0.3
413,0.3
414,0.3
415,0.3
416,0.3
417,0.3
418,0.3
419,0.3
420,0.3
421,0.3
422,0.3
423,0.3
424,0.3
425,0.3
426,0.3
427,0.3
428,0.3
429,0.3
430,0.3
431,0.3
432,0.3
433,0.3
434,0.3
435,0.3
436,0.3
437,0.3
438,0.31
439,0.31
440,0.31
441,0.31
442,0.31
443,0.31
444,0.31
445,0.31
446,0.31
447,0.3
448,0.3
449,0.3
450,0.3
451,0.3
452,0.3
453,0.3
454,0.3
455,0.3
456,0.3
457,0.3
458,0.3
459,0.3
460,0.3
461,0.3
462,0.3
463,0.3
464,0.3
465,0.3
466,0.3
467,0.3
468,0.3
469,0.3
470,0.3
471,0.3
472,0.3
473,0.3
474,0.3
475,0.3
476,0.3
477,0.3
478,0.3
479,0.3
480,0.3
481,0.3
482,0.3
483,0.3
484,0.3
485,0.3
486,0.3
487,0.3
488,0.67
489,0.23
490,0.23
491,0.23
492,0.23
493,0.23
494,0.23
495,0.23
496,0.23
497,0.23
498,0.23
499,0.23
500,0.23
501,0.23
502,0.23
503,0.23
504,0.23
505,0.23
506,0.21
507,0.21
508,0.21
509,0.21
510,0.21
511,0.21
512,0.21
513,0.21
514,0.21
515,0.21
516,0.21
517,0.21
518,0.21
519,0.21
520,0.21
521,0.21
522,0.21
523,0.21
524,0.21
525,0.21
526,0.21
527,0.21
528,0.21
529,0.21
530,0.21
531,0.18
532,0.18
533,0.18
534,0.18
535,0.18
536,0.18
537,0.18
538,0.18
539,0.27
540,0.23
541,0.23
542,0.23
543,0.23
544,0.23
545,0.23
546,0.23
547,0.23
548,0.23
549,0.23
550,0.23
551,0.23
552,0.23
553,0.23
554,0.23
555,0.23
556,0.23
557,0.23
558,0.23
559,0.23
560,0.23
561,0.23
562,0.23
563,0.23
564,0.23
565,0.23
566,0.23
567,0.23
568,0.23
569,0.23
570,0.23
571,0.23
572,0.23
573,0.23
574,0.23
575,0.23
576,0.23
577,0.23
578,0.23
579,0.23
580,0.23
581,0.27
582,0.27
583,0.27
584,0.27
585,0.27
586,0.27
587,0.27
588,0.27
589,0.27
590,0.27
591,0.27
592,0.27
593,0.27
594,0.27
595,0.27
596,0.27
597,0.27
598,0.27
599,0.27
600,0.27
601,0.27
602,0.27
603,0.27
604,0.27
605,0.27
606,0.27
607,0.27
608,0.27
609,0.27
610,0.27
611,0.27
612,0.27
613,0.27
614,0.27
615,0.27
616,0.27
617,0.27
618,0.27
619,0.27
620,0.27
621,0.27
622,0.27
623,0.27
624,0.27
625,0.27
626,0.27
627,0.27
628,0.27
629,0.27
630,0.27
631,0.27
632,0.27
633,0.27
634,0.27
635,0.27
636,0.27
637,0.27
638,0.27
639,0.27
640,0.27
641,0.27
642,0.27
643,0.27
644,0.27
645,0.27
646,0.27
647,0.27
648,0.27
649,0.27
650,0.27
651,0.27
652,0.27
653,0.27
654,0.27
655,0.27
656,0.27
657,0.18
658,0.18
659,0.18
660,0.18
661,0.18
662,0.18
