row_index,WROT.PtCnvTmp.Bl3
1,3.29
2,3.29
3,3.29
4,3.29
5,3.29
6,3.29
7,3.29
8,3.29
9,3.29
10,3.29
11,3.29
12,3.29
13,3.29
14,3.29
15,3.29
16,3.29
17,3.29
18,3.29
19,3.29
20,3.29
21,3.29
22,3.2
23,3.29
24,3.2
25,3.2
26,3.2
27,3.29
28,3.2
29,3.2
30,3.2
31,3.2
32,3.2
33,3.2
34,3.2
35,3.2
36,3.2
37,3.2
38,3.2
39,3.2
40,3.2
41,3.2
42,3.2
43,3.2
44,3.2
45,3.2
46,3.2
47,3.2
48,3.09
49,3.2
50,3.2
51,3.09
52,3.09
53,3.09
54,3.09
55,3.2
56,3.09
57,3.09
58,3.09
59,3.09
60,3.09
61,3.09
62,3.09
63,3.09
64,3.09
65,3.09
66,3.09
67,3.09
68,3.09
69,3.09
70,3.09
71,3.09
72,3.09
73,3.09
74,3.09
75,3.09
76,3.09
77,3.09
78,3.09
79,3.09
80,3.09
81,3.09
82,3.09
83,3.09
84,3.09
85,3.09
86,3.09
87,3.09
88,3.09
89,3.09
90,3.09
91,3.09
92,3.09
93,3.09
94,3.09
95,3.09
96,3.09
97,3.09
98,3.09
99,3.09
100,3.09
101,3.09
102,3.09
103,3.09
104,3.09
105,3.09
106,3.09
107,3.09
108,3.09
109,3.09
110,3.09
111,3.09
112,3.09
113,3.09
114,3.09
115,3.09
116,3.09
117,3.09
118,3.09
119,3.09
120,3.09
121,3.09
122,3.09
123,3.09
124,3.09
125,3.09
126,3.09
127,3.09
128,3.09
129,3.2
130,3.2
131,3.2
132,3.2
133,3.2
134,3.2
135,3.2
136,3.2
137,3.2
138,3.2
139,3.29
140,3.29
141,3.29
142,3.2
143,3.2
144,3.2
145,3.2
146,3.29
147,3.29
148,3.29
149,3.29
150,3.29
151,3.29
152,3.29
153,3.2
154,3.2
155,3.2
156,3.2
157,3.2
158,3.2
159,3.2
160,3.2
161,3.2
162,3.2
163,3.2
164,3.2
165,3.2
166,3.2
167,3.2
168,3.2
169,3.2
170,3.2
171,3.2
172,3.2
173,3.2
174,3.2
175,3.2
176,3.2
177,3.09
178,3.2
179,3.2
180,3.2
181,3.09
182,3.09
183,3.09
184,3.09
185,3.2
186,3.09
187,3.2
188,3.2
189,3.2
190,3.2
191,3.2
192,3.2
193,3.2
194,3.2
195,3.2
196,3.2
197,3.2
198,3.29
199,3.29
200,3.2
201,3.2
202,3.2
203,3.2
204,3.2
205,3.2
206,3.2
207,3.2
208,3.2
209,3.2
210,3.2
211,3.2
212,3.2
213,3.2
214,3.2
215,3.2
216,3.09
217,3.09
218,3.09
219,3.2
220,3.2
221,3.2
222,3.2
223,3.29
224,3.29
225,3.2
226,3.2
227,3.2
228,3.2
229,3.2
230,3.2
231,3.2
232,3.2
233,3.2
234,3.2
235,3.2
236,3.2
237,3.2
238,3.29
239,3.29
240,3.29
241,3.29
242,3.29
243,3.2
244,3.2
245,3.29
246,3.2
247,3.2
248,3.2
249,3.2
250,3.2
251,3.2
252,3.2
253,3.2
254,3.2
255,3.2
256,3.2
257,3.2
258,3.2
259,3.2
260,3.2
261,3.2
262,3.2
263,3.2
264,3.09
265,3.2
266,3.09
267,3.09
268,3.09
269,3.09
270,3.09
271,3.2
272,3.2
273,3.2
274,3.2
275,3.2
276,3.2
277,3.2
278,3.2
279,3.2
280,3.2
281,3.29
282,3.29
283,3.29
284,3.29
285,3.29
286,3.29
287,3.29
288,3.2
289,3.2
290,3.2
291,3.2
292,3.2
293,3.2
294,3.2
295,3.2
296,3.2
297,3.2
298,3.2
299,3.2
300,3.2
301,3.2
302,3.2
303,3.2
304,3.09
305,3.2
306,3.2
307,3.2
308,3.09
309,3.09
310,3.2
311,3.09
312,3.09
313,3.09
314,3.09
315,3.09
316,3.09
317,3.09
318,3.09
319,3.09
320,3.09
321,3.09
322,3.09
323,3.09
324,3.09
325,3.09
326,3.09
327,3.09
328,3.09
329,3.09
330,3.09
331,3.09
332,3.09
333,3.09
334,3.09
335,3.09
336,3.09
337,3.09
338,3.09
339,3.2
340,3.2
341,3.2
342,3.29
343,3.2
344,3.2
345,3.2
346,3.2
347,3.2
348,3.2
349,3.2
350,3.09
351,3.2
352,3.09
353,3.09
354,3.09
355,3.2
356,3.2
357,3.2
358,3.2
359,3.2
360,3.2
361,3.2
362,3.2
363,3.2
364,3.2
365,3.29
366,3.29
367,3.29
368,3.29
369,3.29
370,3.29
371,3.29
372,3.29
373,3.29
374,3.29
375,3.29
376,3.29
377,3.29
378,3.29
379,3.29
380,3.29
381,3.29
382,3.29
383,3.29
384,3.29
385,3.29
386,3.29
387,3.29
388,3.29
389,3.29
390,3.29
391,3.29
392,3.29
393,3.29
394,3.29
395,3.29
396,3.29
397,3.29
398,3.29
399,3.29
400,3.29
401,3.29
402,3.29
403,3.29
404,3.29
405,3.29
406,3.29
407,3.29
408,3.29
409,3.29
410,3.29
411,3.29
412,3.29
413,3.29
414,3.29
415,3.29
416,3.29
417,3.29
418,3.29
419,3.29
420,3.29
421,3.29
422,3.29
423,3.29
424,3.29
425,3.29
426,3.29
427,3.29
428,3.2
429,3.2
430,3.29
431,3.29
432,3.2
433,3.2
434,3.2
435,3.2
436,3.2
437,3.2
438,3.2
439,3.2
440,3.29
441,3.29
442,3.29
443,3.29
444,3.29
445,3.29
446,3.29
447,3.29
448,3.29
449,3.29
450,3.29
451,3.29
452,3.29
453,3.29
454,3.29
455,3.29
456,3.29
457,3.29
458,3.29
459,3.29
460,3.29
461,3.29
462,3.29
463,3.29
464,3.29
465,3.29
466,3.29
467,3.29
468,3.2
469,3.2
470,3.2
471,3.2
472,3.2
473,3.2
474,3.2
475,3.2
476,3.2
477,3.2
478,3.2
479,3.2
480,3.2
481,3.2
482,3.2
483,3.2
484,3.2
485,3.2
486,3.2
487,3.2
488,3.2
489,3.2
490,3.2
491,3.29
492,3.29
493,3.29
494,3.29
495,3.29
496,3.29
497,3.29
498,3.29
499,3.29
500,3.29
501,3.2
502,3.2
503,3.2
504,3.2
505,3.2
506,3.2
507,3.2
508,3.29
509,3.29
510,3.29
511,3.29
512,3.29
513,3.29
514,3.2
515,3.29
516,3.2
517,3.2
518,3.2
519,3.2
520,3.2
521,3.2
